tenantid,address,price,floor_area,station_name,detail_url,img_url,shikikin,reikin,hosho,kaiyaku
104722,千代田区麹町3-5-16,35.00万(税別),46.01㎡,有楽町線　麹町駅 1,https://www.tenant-shop.com/detail/e-104722/,https://www.tenant-shop.com/user/images/f11124-/f11124-16826565012.jpg,無,無,1.0,1.0
104010,千代田区有楽町１,88.70万(税込),74.05㎡,日比谷 1,https://www.tenant-shop.com/detail/e-104010/,https://www.tenant-shop.com/user/images/f11076-/f11076-16816164931.jpg,12.0,無,無,無
101616,千代田区神田三崎町2-21-7,39.00万(税別),59.40㎡,水道橋,https://www.tenant-shop.com/detail/e-101616/,https://www.tenant-shop.com/user/images/f11134-/f11134-16786818059.jpg,10.0,78.0,無,2.0
101571,千代田区鍛冶町2-7-3,90.00万(税別),66.11㎡,神田 1,https://www.tenant-shop.com/detail/e-101571/,https://www.tenant-shop.com/user/images/f11134-/f11134-16770359198.jpg,10.0,90.0,無,2.0
97403,千代田区神田三崎町2-1-17,100.00万(税別),198.35㎡,水道橋 2,https://www.tenant-shop.com/detail/e-97403/,https://www.tenant-shop.com/user/images/f11134-/f11134-16871569981.jpg,無,1.0,6.0,1.0
97400,千代田区神田三崎町2-1-17,65.00万(税別),99.17㎡,水道橋 2,https://www.tenant-shop.com/detail/e-97400/,none,無,1.0,6.0,1.0
91383,千代田区紀尾井町3-33,45.00万(税別),115.70㎡,永田町 1,https://www.tenant-shop.com/detail/e-91383/,https://www.tenant-shop.com/user/images/f11086-/f11086-16702921612.jpg,無,1.0,8.0,30.0
87264,千代田区神田佐久間町1-24,130.00万(税別),130.57㎡,秋葉原 1,https://www.tenant-shop.com/detail/e-87264/,https://www.tenant-shop.com/user/images/f11076-/f11076-16671344515.jpg,無,無,12.0,無
82539,千代田区西神田2,40.00万(税別),84.29㎡,ＪＲ総武線「水道橋」 6,https://www.tenant-shop.com/detail/e-82539/,https://www.tenant-shop.com/user/images/f11128-/f11128-1663290187.jpg,6.0,無,無,無
75017,千代田区神田佐久間町2,51.87万(税込),62.37㎡,秋葉原 1,https://www.tenant-shop.com/detail/e-75017/,https://www.tenant-shop.com/user/images/f11076-/f11076-16542150920.jpg,10.0,1.1,無,無
75015,千代田区神田佐久間町2,118.09万(税込),126.75㎡,秋葉原 1,https://www.tenant-shop.com/detail/e-75015/,https://www.tenant-shop.com/user/images/f11076-/f11076-16542149681.jpg,10.0,1.1,無,無
73473,千代田区鍛冶町1-2-16,35.76万,89.55㎡,神田 2,https://www.tenant-shop.com/detail/e-73473/,https://www.tenant-shop.com/user/images/f11076-/f11076-16506206181.jpg,無,無,8.0,無
62867,千代田区鍛冶屋町1-6-7　神田麻布ビル,120.00万(税別),198.00㎡,JR中央本線　神田 4,https://www.tenant-shop.com/detail/e-62867/,https://www.tenant-shop.com/user/images/f11086-/f11086-16245048713.jpg,無,1.0,8.0,20.0
104310,千代田区内神田３,40.00万(税別),107.00㎡,神田 1,https://www.tenant-shop.com/detail/e-104310/,https://www.tenant-shop.com/user/images/f11134-/f11134-16819738701.jpg,6.0,40.0,無,2.0
103421,千代田区鍛冶町2-8-14,43.90万(税別),58.05㎡,神田 1,https://www.tenant-shop.com/detail/e-103421/,https://www.tenant-shop.com/user/images/f11134-/f11134-16811771269.jpg,6.0,無,無,無
101571,千代田区鍛冶町2-7-3,90.00万(税別),66.11㎡,神田 1,https://www.tenant-shop.com/detail/e-101571/,https://www.tenant-shop.com/user/images/f11134-/f11134-16770359197.jpg,10.0,90.0,無,2.0
100726,千代田区神田三崎町2-8-10,70.00万(税別),90.80㎡,水道橋 3,https://www.tenant-shop.com/detail/e-100726/,https://www.tenant-shop.com/user/images/f11134-/f11134-16765247611.jpg,無,1.0,6.0,1.0
97401,千代田区神田三崎町2-1-17,35.00万(税別),99.17㎡,水道橋 2,https://www.tenant-shop.com/detail/e-97401/,https://www.tenant-shop.com/user/images/f11134-/f11134-16871571211.jpg,無,1.0,6.0,1.0
91761,千代田区神田三崎町2-15-5,48.45万(税別),122.35㎡,水道橋 2,https://www.tenant-shop.com/detail/e-91761/,https://www.tenant-shop.com/user/images/f11134-/f11134-16714136661.jpg,無,無,12.0,20.0
87305,千代田区内神田2,58.45万(税込),109.81㎡,ＪＲ山手線「神田」 3,https://www.tenant-shop.com/detail/e-87305/,https://www.tenant-shop.com/user/images/f11128-/f11128-16681565962.jpg,8.0,無,無,無
85551,千代田区有楽町1,97.61万(税込),115.04㎡,日比谷 2,https://www.tenant-shop.com/detail/e-85551/,https://www.tenant-shop.com/user/images/f11076-/f11076-16659880941.jpg,無,1.0,10.0,無
81981,千代田区神田駿河台2,55.00万(税別),77.52㎡,御茶ノ水 1,https://www.tenant-shop.com/detail/e-81981/,https://www.tenant-shop.com/user/images/f11076-/f11076-16629413742.jpg,無,無,500.0,無
75016,千代田区神田佐久間町2,105.44万(税込),126.75㎡,秋葉原 1,https://www.tenant-shop.com/detail/e-75016/,https://www.tenant-shop.com/user/images/f11076-/f11076-16542149900.jpg,10.0,1.1,無,無
74854,千代田区鍛冶町2,40.00万(税別),18.01㎡,神田 1,https://www.tenant-shop.com/detail/e-74854/,https://www.tenant-shop.com/user/images/f11076-/f11076-16538190683.jpg,無,2.0,10.0,無
73471,千代田区鍛冶町1-8-1,90.00万(税別),82.49㎡,神田 3,https://www.tenant-shop.com/detail/e-73471/,https://www.tenant-shop.com/user/images/f11076-/f11076-16506197811.jpg,無,無,12.0,無
